gate_id,default_rule,created_at,__key_bytes,__last_updated_block_number
107347505839156480231532913062101096227507666462570723682886302675095790705940,f,1758284664,\xed548901320e51922f7512410ae32dc53cd7a588ff2874b4adaf6bfb8c4e5d14,8578904
5182812377826586825916527889692336912918685681899653783565879922169209557472,f,1758248200,\x0b755e2b7f36fc2d65766d8a07ad30d5525aaa9307391bacfd39b08e05ce11e0,8560807
113616122747826243087293438194174243568610647509170201604982139982576788332343,f,1758242096,\xfb307255228b871e1a58ff197d669bdebd69cc7cc53247a642997193884e5f37,8557632
37705712069609120266036554784609171595967933571544040423934077262733800860180,f,1758173440,\x535cad3f3f161868d38f68930bbc836b923957ee333b69aaf542fbe083cb6a14,8523394
24652126435798611367544062858273105664423348232820681497204764044096016156416,f,1758168052,\x36809bee0829693f78209fd5ea4f848827dfe8298445ca960920fae7a9170700,8520639
101158198842291223671271115125454067537357242175692751097736324579183250491058,f,1758160292,\xdfa582f562044a436129f0b990e0e06c4db87850f6c567b6a72073aaf041c6b2,8516820
51935191792236786294694157779542532330901816483181368671218270049583101885890,f,1758157032,\x72d246e0543671155a4601d43cc257774731accc149f15b1f4d1ad17890fbdc2,8515095
24505704007326065093150614606496023375483058186086882260652508539737997115877,f,1758147978,\x362dbca84f1a1ead884a11ce21d457235f321ece458fcf324617690814ad01e5,8510644
4963929979513189577999172578361339446667649050942480277887393977904977542338,f,1758144094,\x0af97c1c1dacf04a54f3ab567b1dd9bf2ce87e4e9fd9da69089acfda2225fcc2,8508623
91191771464502738963314079429687999550112563664483786225806511197733534912577,f,1758144008,\xc99cb6ac1507f08da836bda0d215f7bcde23d8a07037a22b07b715410ecd5041,8508604
