entity_id,exists,access_role,entity_relation_tag,property_tags,resource_relation_tags,__key_bytes,__last_updated_block_number
16905466054348280942896552011870816697932781413488152099811479606424273694081,t,\xb66e8584ec05c958d8cc3dc17c1b01b8845435d40c5192c977ca9f0889d44204,\x65742560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f080,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\x2560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d81,8587935
100250025223726658738654931823487964951215097609770556669156456216720318157236,t,\xe088a8593ba42878a3aca2bc16bb29aa81d117c87f05b0b66edc700e3572cdcf,\x6574dda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c8662892838,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\xdda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c866289283851b4,8587884
47185083351408974992057482246376123995827845397238429773536951959478838903079,t,\xde1e36ba648575567958b1671f8e437e542dace2ddd375b04b374fdd0c7b17c0,\x65746851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a042,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\x6851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a0424127,8587884
68414870092408726995284918354210972589709809808521922219129213511111638660718,t,\xc6141f3463aacc39b7c3518801f8c2f6ce2a3f11e2c304d995f5809375b0dab4,\x6574974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\x974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16366e,8587880
60111412355051391629722680399853829566074812330991221091900175128757004958714,t,\xb0e6f626216593f92300d26653582931b12f892c650f67af50e07d81284c8cdf,\x657484e5da8c56b16c3fa5315533a2e1f56414293cfc2ced01fd9ebeb9d46aac,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\x84e5da8c56b16c3fa5315533a2e1f56414293cfc2ced01fd9ebeb9d46aac7bfa,8587831
48159765063202884749947104111634117628066800990270452523480705912588728221006,t,\x50dfa6d4da7649a83879de3fbc66e47e479c7aec24a77a983dd42d1d120a385f,\x65746a797607e184d877148f6a4403e46001f716cb63c5aa837afa39c6ea85ff,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\x6a797607e184d877148f6a4403e46001f716cb63c5aa837afa39c6ea85ff3d4e,8587807
9014807003794307867511837790144222423701028972641379525245302005148605988123,t,\x1bb07e43c5fc447e9e60a0660e091341748bfbe2840ec7422f044a0259fa91fe,\x657413ee332fdb7a901c9eda8d58986a8f023eae69e8f7dc7279a70123ef26d3,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\x13ee332fdb7a901c9eda8d58986a8f023eae69e8f7dc7279a70123ef26d3bd1b,8587775
80654274736561304069518121448844497485398111713595776949048815282549308121106,t,\x98652fb24074e8520d2c4dfd8494864531a3e3172f42de306d258cd48ca0a14c,\x6574b250b3a75224128cf91e0dcb1c2c51d03166dcfb7d452b0e54ad8f5be0f5,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\xb250b3a75224128cf91e0dcb1c2c51d03166dcfb7d452b0e54ad8f5be0f5e012,8587775
55660722882636902424462447383120735077465830485187764161109952184612212017370,t,\xdb21d2397b0bfffa284ecae70aab4a0d62448d99976e93d87c32f794560b1c1c,\x65747b0eda4cae0a952cf04942d760ec2381015b87d39be175b9891ea03c9fb1,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\x7b0eda4cae0a952cf04942d760ec2381015b87d39be175b9891ea03c9fb188da,8587766
42339343805424599576187258380517108265822888928394258806793676921861674963791,t,\x7f8a932143404ee5e276d26b8d5f7b0be40aedcfdf56e493e53895fb3567df4a,\x65745d9b3828976cbd58047b459cfd6fdc456fde8235cbb0106871f2b1468459,"{""json"":[""0x70744f424a454354000000000000000000000000000000000000000000000000""]}","{""json"":[]}",\x5d9b3828976cbd58047b459cfd6fdc456fde8235cbb0106871f2b1468459134f,8587732
