gate_id,corp_id,active,__key_bytes,__last_updated_block_number
107347505839156480231532913062101096227507666462570723682886302675095790705940,98000065,t,\xed548901320e51922f7512410ae32dc53cd7a588ff2874b4adaf6bfb8c4e5d140000000000000000000000000000000000000000000000000000000005d75cc1,8578904
5182812377826586825916527889692336912918685681899653783565879922169209557472,98000065,t,\x0b755e2b7f36fc2d65766d8a07ad30d5525aaa9307391bacfd39b08e05ce11e00000000000000000000000000000000000000000000000000000000005d75cc1,8560807
51935191792236786294694157779542532330901816483181368671218270049583101885890,98000065,t,\x72d246e0543671155a4601d43cc257774731accc149f15b1f4d1ad17890fbdc20000000000000000000000000000000000000000000000000000000005d75cc1,8515798
4963929979513189577999172578361339446667649050942480277887393977904977542338,98000065,t,\x0af97c1c1dacf04a54f3ab567b1dd9bf2ce87e4e9fd9da69089acfda2225fcc20000000000000000000000000000000000000000000000000000000005d75cc1,8508623
91191771464502738963314079429687999550112563664483786225806511197733534912577,98000065,t,\xc99cb6ac1507f08da836bda0d215f7bcde23d8a07037a22b07b715410ecd50410000000000000000000000000000000000000000000000000000000005d75cc1,8508604
56305317599527714576298410095861917578841720033414918740442795505180079327041,98000065,t,\x7c7bae2f90d63f4fabc3924a76a1c6afe29a9ed9b74842b44e0098666ac487410000000000000000000000000000000000000000000000000000000005d75cc1,8470062
83555325695847197635314612426955817719916255154361198166708202723639000834829,98000065,t,\xb8baa36feff10a371d40ec07c58f2ad91da9ede798127c80dd00ed8ad488230d0000000000000000000000000000000000000000000000000000000005d75cc1,8470047
47358491909228172675120281920018659302915722605498566964322218534520701297550,98000065,t,\x68b3f4dec517ead735281c67a13e8bbd2e0a8068dc8b7b9bb206dcea81d7a38e0000000000000000000000000000000000000000000000000000000005d75cc1,8464532
22395376266807126820687916543856974173712271831981417255552495272605985319793,98000065,t,\x31835571f53f8d13aa24a7bccffb62eef38b95dd84d9906bfab9cfbd5cbcab710000000000000000000000000000000000000000000000000000000005d75cc1,8464513
31241431697654130195694833684103710262870154739173208500628879559157581450243,98000063,t,\x45120612179a33b5a65ea50ec51145084b1f3d14b0f3baa6642af26894658c030000000000000000000000000000000000000000000000000000000005d75cbf,8406330
